TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
44,2024-03-26 23:08:35.463136,2346.77,31,refund,Houston,0
45,2024-06-14 14:43:35.463142,616.82,4,refund,Los Angeles,0
46,2024-07-21 19:23:35.463147,2052.8,980,refund,Houston,0
47,2024-05-22 16:45:35.463153,4833.08,251,refund,Chicago,0
48,2024-09-25 13:03:35.463158,4652.12,334,purchase,San Diego,0
49,2024-09-07 13:05:35.463164,2486.55,978,refund,Phoenix,0
50,2024-05-02 10:03:35.463171,3968.51,639,purchase,Philadelphia,0
51,2023-11-02 06:58:35.463175,29.32,620,refund,Chicago,0
52,2024-01-17 02:02:35.463179,817.4,57,refund,Chicago,0
53,2024-10-15 23:29:35.463182,1801.08,456,refund,San Jose,0
54,2023-12-12 05:00:35.463186,740.67,970,purchase,San Antonio,0
55,2024-10-03 12:01:35.463189,2700.55,430,purchase,New York,0
56,2024-02-28 19:04:35.463192,875.22,437,purchase,Houston,0
57,2023-11-27 15:19:35.463196,3021.84,685,refund,San Diego,0
58,2024-08-02 04:48:35.463200,3558.8,274,purchase,Philadelphia,0
59,2023-12-27 13:45:35.463203,442.85,12,refund,Chicago,0
60,2024-08-13 17:38:35.463206,3836.6,277,refund,Dallas,0
61,2024-05-14 17:17:35.463210,4707.89,94,refund,San Antonio,0
62,2024-06-26 05:38:35.463213,2069.71,400,purchase,New York,0
63,2024-09-28 15:35:35.463217,1022.13,526,refund,Phoenix,0
64,2024-04-04 09:58:35.463220,3916.07,576,refund,San Jose,0
65,2024-01-13 13:20:35.463224,1977.93,879,refund,Dallas,0
66,2024-06-05 01:51:35.463227,720.95,680,purchase,Houston,0
67,2023-12-23 18:01:35.463231,1788.8,546,purchase,Philadelphia,0
68,2024-02-13 02:09:35.463234,3448.81,219,refund,San Diego,0
69,2024-05-13 18:40:35.463237,3443.84,555,refund,Dallas,0
70,2024-01-02 23:54:35.463241,493.08,412,purchase,Los Angeles,0
71,2024-03-09 14:03:35.463244,4372.58,210,refund,New York,0
72,2024-03-23 10:26:35.463247,235.06,363,purchase,New York,0
73,2024-04-30 20:43:35.463251,1708.71,112,refund,San Diego,0
74,2024-08-29 16:54:35.463254,3374.61,109,refund,New York,0
75,2024-10-12 14:17:35.463257,2298.56,469,refund,Philadelphia,0
76,2024-08-24 01:23:35.463260,2988.26,823,purchase,San Jose,0
77,2024-04-13 01:42:35.463264,2015.55,447,purchase,San Diego,0
78,2024-01-15 05:40:35.463268,1509.45,619,refund,Philadelphia,0
79,2024-02-13 19:04:35.463274,4611.36,94,refund,Los Angeles,0
80,2024-01-10 23:52:35.463279,222.74,620,purchase,Los Angeles,0
81,2024-09-20 09:25:35.463285,4298.25,979,refund,Philadelphia,0
82,2024-09-15 14:23:35.463291,1007.32,770,refund,Phoenix,0
83,2024-09-09 14:50:35.463297,2166.21,807,purchase,New York,0
84,2024-10-19 22:34:35.463302,2522.34,52,purchase,Philadelphia,0
85,2023-11-05 09:17:35.463308,2282.71,196,purchase,Dallas,0
86,2024-05-09 07:11:35.463314,2377.94,282,purchase,Houston,0
87,2024-01-25 11:48:35.463320,1081.21,926,refund,Chicago,0
88,2024-06-08 00:57:35.463327,4152.22,397,refund,San Antonio,0
89,2023-11-16 17:48:35.463332,3947.26,431,refund,Houston,0
90,2024-03-29 00:43:35.463338,1370.1,701,refund,Philadelphia,0
91,2023-12-27 19:22:35.463344,4922.69,846,refund,New York,0
92,2024-01-07 10:11:35.463350,2356.42,941,purchase,New York,0
93,2024-08-05 03:56:35.463356,4527.03,817,purchase,Dallas,0
94,2024-09-16 05:06:35.463363,2006.0,87,refund,San Antonio,0
95,2024-05-05 02:56:35.463368,1923.78,708,refund,New York,0
96,2024-09-05 21:48:35.463374,1209.88,336,purchase,Philadelphia,0
97,2024-07-31 06:21:35.463381,3558.24,188,refund,San Jose,0
98,2024-10-18 14:51:35.463387,923.88,407,purchase,San Jose,0
99,2024-09-27 04:02:35.463392,4836.36,656,purchase,Chicago,0
100,2024-07-20 10:12:35.463397,3396.1,818,purchase,Philadelphia,0
101,2024-07-15 12:29:35.463402,2522.38,68,refund,Chicago,0
102,2024-08-24 02:05:35.463408,433.94,837,purchase,Chicago,0
103,2024-10-16 00:00:35.463414,4975.64,37,refund,Houston,0
104,2024-06-02 11:12:35.463419,772.43,78,refund,Dallas,0
105,2024-06-25 23:59:35.463422,814.27,348,refund,New York,0
106,2024-04-30 01:11:35.463425,3016.19,574,purchase,Los Angeles,0
107,2023-11-15 13:50:35.463429,639.68,725,refund,New York,0
108,2024-09-27 14:43:35.463432,3593.48,376,purchase,San Diego,0
109,2024-03-06 20:36:35.463436,3593.2,934,refund,Los Angeles,0
110,2024-07-22 23:48:35.463440,785.79,78,refund,Phoenix,0
111,2024-10-01 16:07:35.463443,1404.77,727,refund,San Jose,0
112,2023-11-02 02:28:35.463447,388.09,258,purchase,San Diego,0
113,2023-12-28 13:56:35.463451,4469.05,441,purchase,Chicago,0
114,2024-08-10 14:35:35.463460,3084.23,305,refund,Phoenix,0
115,2023-11-22 06:40:35.463463,3268.77,364,refund,San Diego,0
116,2024-04-30 04:15:35.463467,4443.7,339,purchase,New York,0
117,2024-08-16 14:57:35.463470,3773.79,382,purchase,San Jose,0
118,2024-02-01 12:46:35.463473,2525.84,464,purchase,San Diego,0
119,2024-06-13 20:41:35.463477,2827.55,714,purchase,San Diego,0
120,2024-03-05 00:53:35.463480,1019.46,244,refund,San Diego,0
121,2024-03-28 06:56:35.463483,1476.27,231,refund,Los Angeles,0
122,2024-09-22 19:20:35.463487,1871.58,443,purchase,Phoenix,0
123,2024-09-05 14:29:35.463490,1290.73,455,refund,New York,0
124,2024-06-05 02:51:35.463493,3904.09,608,purchase,Philadelphia,0
125,2024-09-30 15:20:35.463496,303.11,232,refund,Chicago,0
126,2024-01-21 13:36:35.463500,1445.21,955,refund,San Jose,0
127,2023-10-28 18:11:35.463503,2797.59,897,purchase,Los Angeles,0
128,2023-12-15 20:26:35.463507,4820.74,663,refund,San Jose,0
129,2024-05-22 02:20:35.463510,4676.86,983,purchase,Chicago,0
130,2024-04-19 14:46:35.463514,2131.67,349,purchase,Dallas,0
131,2024-08-17 06:02:35.463517,4593.26,366,refund,San Jose,0
132,2024-05-15 13:00:35.463520,2964.31,486,purchase,San Antonio,0
133,2024-06-25 23:19:35.463524,4452.56,587,refund,Chicago,0
134,2024-03-01 22:24:35.463527,1064.75,816,purchase,New York,0
135,2023-11-29 05:34:35.463530,1950.97,648,purchase,San Antonio,0
136,2024-10-16 13:16:35.463534,3033.38,207,refund,San Diego,0
137,2024-01-03 07:07:35.463537,4579.91,806,purchase,Chicago,0
138,2024-10-10 04:30:35.463541,4463.06,616,purchase,New York,0
139,2024-03-15 12:09:35.463544,4824.21,163,refund,Phoenix,0
140,2023-11-12 00:24:35.463547,1606.55,728,refund,Phoenix,0
141,2023-10-30 04:47:35.463551,3050.67,814,purchase,Philadelphia,0
142,2024-01-03 02:46:35.463554,3465.81,688,purchase,Dallas,0
143,2023-11-30 15:45:35.463557,1629.28,621,refund,Houston,0
144,2024-01-24 05:45:35.463561,3806.2,141,refund,Houston,0
145,2024-03-21 03:03:35.463564,3506.76,282,refund,Phoenix,0
146,2024-03-15 03:48:35.463568,1893.07,818,purchase,Houston,0
147,2024-01-24 03:05:35.463571,3022.31,294,refund,San Antonio,0
148,2024-09-09 12:14:35.463575,1649.57,675,purchase,San Antonio,0
149,2023-12-07 16:31:35.463578,2735.8,574,purchase,San Diego,0
150,2024-08-16 10:21:35.463582,602.35,381,purchase,San Antonio,0
151,2024-09-08 05:36:35.463585,3214.15,565,purchase,Los Angeles,0
152,2023-11-14 21:39:35.463588,3732.15,794,refund,Phoenix,0
153,2024-02-20 19:41:35.463592,1705.68,174,purchase,Chicago,0
154,2023-12-04 17:22:35.463596,3354.2,207,purchase,Phoenix,0
155,2024-08-13 02:19:35.463599,1155.19,187,refund,Houston,0
156,2024-03-19 14:07:35.463602,22.08,964,purchase,Philadelphia,0
157,2023-10-23 01:11:35.463606,2545.43,118,refund,Houston,0
158,2024-04-08 02:01:35.463609,3173.84,279,purchase,Philadelphia,0
159,2024-07-06 15:17:35.463613,2458.68,681,refund,San Antonio,0
160,2024-05-23 12:10:35.463616,331.2,796,refund,San Jose,0
161,2024-09-22 01:15:35.463620,3947.38,434,refund,San Jose,0
162,2024-06-12 09:27:35.463624,768.44,1,purchase,Phoenix,0
163,2024-02-18 13:54:35.463629,3277.91,824,purchase,Philadelphia,0
164,2023-11-16 16:05:35.463632,4385.78,560,refund,San Jose,0
165,2023-11-26 07:21:35.463636,4195.53,789,refund,San Jose,0
166,2023-11-30 06:14:35.463639,2596.94,471,refund,San Diego,0
167,2024-04-01 20:00:35.463643,4411.72,666,refund,San Diego,0
168,2024-04-19 17:35:35.463646,1796.39,584,refund,New York,0
169,2024-06-18 00:14:35.463649,1282.88,255,purchase,San Diego,0
170,2024-07-25 02:21:35.463652,1812.72,28,purchase,San Antonio,0
171,2024-09-01 16:23:35.463656,2105.09,551,refund,San Jose,0
172,2024-03-15 23:57:35.463659,180.77,826,refund,Phoenix,0
173,2023-12-31 10:49:35.463662,68.85,737,purchase,Phoenix,0
174,2024-05-13 20:59:35.463666,194.61,303,refund,San Diego,0
175,2024-04-06 18:11:35.463669,4100.37,3,purchase,Los Angeles,0
176,2023-12-30 20:56:35.463673,3246.92,505,refund,San Jose,0
177,2024-08-03 11:45:35.463676,3411.73,502,refund,Houston,0
178,2024-05-05 21:02:35.463679,3342.67,484,purchase,San Diego,0
179,2023-11-15 22:34:35.463696,620.53,582,purchase,Phoenix,0
180,2024-01-01 08:29:35.463702,1986.08,714,refund,Phoenix,0
181,2024-01-04 07:30:35.463711,3427.7,232,purchase,Los Angeles,0
182,2024-05-27 06:22:35.463717,4954.15,210,refund,Houston,0
183,2023-12-01 10:18:35.463721,2282.14,27,purchase,Los Angeles,0
184,2024-07-14 22:02:35.463724,1489.88,706,purchase,San Diego,0
185,2024-02-24 05:51:35.463727,65.35,429,purchase,Dallas,0
186,2024-07-20 08:52:35.463731,1919.7,828,refund,Dallas,0
187,2024-04-17 20:34:35.463734,2189.78,174,refund,Chicago,0
188,2023-10-31 07:21:35.463738,3666.78,361,purchase,New York,0
189,2024-08-01 21:31:35.463741,4315.43,627,purchase,Philadelphia,0
190,2024-07-21 08:33:35.463744,3651.59,75,refund,San Diego,0
191,2024-09-07 18:24:35.463748,1703.8,916,purchase,San Jose,1
192,2024-04-27 01:48:35.463751,4248.1,862,purchase,San Jose,1
193,2024-09-03 22:21:35.463754,1706.64,417,refund,San Antonio,0
194,2024-09-30 05:04:35.463757,2444.96,615,purchase,New York,0
195,2024-09-30 05:27:35.463761,2945.76,37,purchase,Philadelphia,0
196,2024-08-12 21:19:35.463764,4971.31,786,purchase,Los Angeles,0
197,2023-11-02 11:45:35.463767,2805.81,345,refund,Phoenix,0
198,2024-10-20 20:59:35.463771,4271.92,367,purchase,Houston,0
199,2024-05-15 05:18:35.463774,3715.22,722,purchase,New York,0
200,2024-05-20 16:17:35.463777,4240.22,883,purchase,Dallas,0
201,2024-03-07 02:21:35.463781,582.83,409,refund,Los Angeles,0
202,2024-06-27 22:53:35.463786,38.88,109,purchase,Chicago,0
203,2023-11-18 08:07:35.463792,4906.35,167,refund,San Antonio,0
204,2024-01-02 16:20:35.463798,372.55,743,purchase,New York,0
205,2024-10-20 16:20:35.463803,1650.68,631,refund,Los Angeles,0
206,2024-04-02 12:58:35.463809,300.25,201,refund,Dallas,0
207,2024-04-26 22:17:35.463815,967.46,240,purchase,Dallas,0
208,2024-04-18 20:52:35.463820,2051.75,921,purchase,Chicago,0
209,2023-11-05 01:05:35.463826,1641.32,826,purchase,San Jose,1
210,2023-11-07 09:05:35.463833,407.51,116,refund,Chicago,0
211,2024-03-01 22:27:35.463839,2960.27,965,purchase,San Jose,0
212,2023-11-06 08:20:35.463845,3128.51,719,refund,Dallas,0
213,2024-01-06 10:46:35.463852,1463.83,627,refund,Los Angeles,0
214,2024-04-24 08:54:35.463858,2587.29,43,refund,Houston,0
215,2024-04-15 19:12:35.463864,165.69,573,refund,Chicago,0
216,2024-08-26 10:10:35.463871,1408.59,151,refund,San Jose,0
217,2024-02-18 02:37:35.463876,4398.94,919,refund,Chicago,0
218,2024-03-20 05:29:35.463882,3365.82,452,purchase,San Diego,0
219,2024-07-03 13:57:35.463887,547.72,411,purchase,Philadelphia,0
220,2023-11-24 16:25:35.463893,3403.92,205,purchase,San Diego,0
221,2024-01-25 00:58:35.463898,4160.09,990,purchase,Houston,0
222,2024-05-04 01:51:35.463904,3146.9,303,purchase,Los Angeles,0
223,2024-05-25 00:28:35.463910,4778.31,780,refund,Chicago,0
224,2024-02-18 01:07:35.463916,2890.29,256,refund,Chicago,0
225,2024-03-15 05:37:35.463923,4230.17,797,purchase,San Antonio,0
226,2024-06-18 00:42:35.463928,3387.78,220,refund,San Jose,0
227,2023-12-09 02:26:35.463931,2837.46,289,refund,San Antonio,0
228,2024-07-13 21:22:35.463934,1956.96,443,purchase,Phoenix,0
229,2023-11-15 06:09:35.463937,2798.04,388,refund,San Jose,0
230,2024-03-30 09:12:35.463941,1774.01,576,purchase,Phoenix,0
231,2024-01-15 21:08:35.463944,1232.42,279,refund,New York,0
232,2024-05-08 00:34:35.463948,473.7,445,refund,San Jose,0
233,2024-10-17 10:02:35.463951,1265.07,148,purchase,Dallas,0
234,2024-07-31 14:59:35.463955,3726.83,169,refund,Houston,0
235,2024-05-02 18:43:35.463958,1650.29,515,refund,San Diego,0
236,2024-10-06 08:52:35.463962,4125.33,4,refund,San Antonio,0
237,2024-04-04 16:00:35.463965,3506.49,488,purchase,New York,0
238,2024-07-10 14:26:35.463968,604.3,233,refund,Philadelphia,0
239,2023-12-27 07:46:35.463971,984.71,496,purchase,Dallas,0
240,2024-10-15 05:11:35.463975,4541.36,744,purchase,Phoenix,0
241,2024-09-16 15:16:35.463978,4127.8,298,refund,San Jose,0
242,2024-08-09 22:53:35.463981,1074.36,53,purchase,Phoenix,0
243,2024-08-08 20:58:35.463984,3305.73,59,purchase,Philadelphia,0
244,2023-11-19 14:56:35.463988,2790.95,193,purchase,San Diego,0
245,2024-07-19 17:36:35.463991,3145.56,947,purchase,New York,0
246,2023-11-20 20:44:35.463996,4116.82,337,refund,Philadelphia,0
247,2024-02-05 00:23:35.464002,670.64,248,purchase,Los Angeles,0
248,2024-01-25 20:28:35.464008,1417.05,966,purchase,Houston,0
249,2023-12-22 02:45:35.464014,3699.99,827,refund,New York,0
250,2024-10-06 11:08:35.464019,1805.95,980,refund,Los Angeles,0
251,2024-08-24 12:38:35.464025,2003.64,949,refund,San Diego,0
252,2024-01-03 19:13:35.464031,338.18,973,purchase,San Jose,0
253,2024-10-04 23:36:35.464037,3069.16,919,refund,New York,0
254,2024-07-28 00:49:35.464042,1809.94,101,refund,San Jose,0
255,2023-12-19 14:18:35.464048,3660.29,623,purchase,Philadelphia,0
256,2023-11-10 13:06:35.464054,4228.23,590,purchase,San Jose,0
257,2024-05-19 07:54:35.464060,996.58,113,purchase,Los Angeles,0
258,2024-07-28 22:43:35.464065,979.4,598,purchase,Chicago,0
259,2024-06-12 11:38:35.464068,4310.64,106,refund,Chicago,0
260,2024-06-28 20:22:35.464072,1841.08,933,refund,Houston,0
261,2024-07-18 02:51:35.464075,965.29,67,refund,San Jose,0
262,2024-06-14 13:44:35.464079,2347.86,691,purchase,Chicago,0
263,2023-12-05 08:58:35.464083,1289.36,1,refund,New York,0
264,2024-02-20 21:38:35.464086,1176.73,662,refund,Chicago,0
265,2024-04-29 06:58:35.464090,3503.11,855,refund,Chicago,0
266,2023-11-04 17:30:35.464093,1730.85,750,refund,San Jose,0
267,2024-07-23 19:55:35.464096,4429.98,47,refund,Phoenix,0
268,2024-06-26 09:12:35.464100,565.41,618,refund,Dallas,0
269,2024-09-09 19:01:35.464103,704.9,371,refund,Dallas,0
270,2023-12-18 07:48:35.464107,1544.68,695,purchase,Los Angeles,0
271,2024-02-04 18:52:35.464110,732.16,207,refund,San Diego,0
272,2023-12-08 04:59:35.464113,3015.08,280,purchase,Chicago,0
273,2024-09-18 02:44:35.464117,1307.15,136,refund,San Antonio,0
274,2024-06-02 21:54:35.464120,1834.32,63,purchase,Dallas,0
275,2024-05-28 02:06:35.464123,2454.34,197,refund,San Jose,0
276,2024-06-15 06:30:35.464126,1392.09,780,purchase,New York,0
277,2024-08-01 17:20:35.464130,4815.35,848,purchase,Houston,0
278,2024-01-08 17:12:35.464133,3513.45,519,purchase,New York,0
279,2024-06-12 20:04:35.464136,724.56,736,refund,New York,0
280,2024-02-05 08:51:35.464140,1820.34,864,refund,San Jose,0
281,2024-09-07 06:24:35.464143,964.78,76,purchase,San Diego,0
282,2024-04-11 04:08:35.464146,4186.42,731,refund,New York,0
283,2024-03-22 13:01:35.464150,4305.23,645,refund,Houston,0
284,2024-08-04 16:07:35.464153,3397.65,972,refund,San Jose,0
285,2023-11-06 06:00:35.464156,4603.97,843,purchase,Chicago,0
286,2024-01-04 14:34:35.464159,2125.83,785,purchase,San Jose,0
287,2024-08-19 20:29:35.464163,1741.04,914,refund,San Antonio,0
288,2024-03-17 20:01:35.464166,2902.39,870,purchase,Dallas,0
289,2024-09-01 03:12:35.464169,4259.96,874,refund,Dallas,0
290,2023-11-27 18:01:35.464172,2887.65,67,refund,Chicago,0
291,2024-04-14 08:39:35.464176,740.58,671,purchase,Los Angeles,0
292,2024-05-08 17:51:35.464179,2121.28,480,refund,San Antonio,0
293,2023-11-24 21:08:35.464182,3524.33,302,refund,San Antonio,0
294,2024-06-27 17:27:35.464186,3857.24,529,purchase,Los Angeles,0
295,2024-09-07 13:06:35.464189,716.93,849,purchase,Phoenix,0
296,2024-08-14 10:56:35.464192,1693.43,804,purchase,San Jose,0
297,2024-09-21 15:47:35.464195,4862.44,466,purchase,Chicago,0
298,2024-05-05 07:38:35.464199,2783.65,497,purchase,San Diego,0
299,2024-03-10 16:46:35.464202,2785.32,882,refund,Los Angeles,0
300,2024-09-06 03:56:35.464205,4678.38,98,purchase,San Diego,0
301,2024-04-10 16:48:35.464209,3879.7,887,purchase,San Diego,0
302,2024-01-04 01:58:35.464212,746.71,332,refund,Chicago,0
303,2024-09-01 16:27:35.464218,520.72,156,refund,Dallas,0
304,2024-03-08 01:51:35.464224,3513.39,542,purchase,San Antonio,0
305,2024-05-11 03:42:35.464230,4734.11,57,purchase,Phoenix,0
306,2024-02-16 11:38:35.464235,3303.14,925,purchase,Los Angeles,0
307,2023-11-01 22:08:35.464242,4979.6,540,purchase,New York,0
308,2024-08-11 05:12:35.464248,2505.91,115,purchase,Los Angeles,0
309,2024-08-07 05:54:35.464252,4930.26,8,refund,San Antonio,0
310,2024-10-14 18:33:35.464255,2793.96,768,purchase,Houston,0
311,2024-07-03 21:47:35.464259,4912.62,886,purchase,San Jose,0
312,2023-12-28 19:14:35.464262,729.64,278,refund,Dallas,0
313,2024-09-02 07:02:35.464266,2130.43,213,refund,Los Angeles,0
314,2024-07-09 16:13:35.464269,2094.02,704,refund,San Diego,0
315,2024-04-07 05:32:35.464273,928.58,338,purchase,Chicago,0
316,2024-09-20 23:44:35.464276,1594.15,756,purchase,New York,0
317,2024-05-03 05:25:35.464279,3002.5,108,purchase,Philadelphia,0
318,2024-04-07 17:42:35.464282,3744.54,130,refund,San Diego,0
319,2024-08-10 02:01:35.464286,1491.33,45,refund,San Diego,0
320,2024-06-16 18:30:35.464289,281.18,237,purchase,Philadelphia,1
321,2024-05-07 06:47:35.464292,2955.28,340,refund,Dallas,0
322,2024-05-03 08:25:35.464295,82.0,527,purchase,Houston,0
323,2023-10-23 08:16:35.464299,3886.43,870,purchase,Chicago,0
324,2024-06-20 03:17:35.464303,2513.33,693,purchase,Houston,0
325,2024-08-04 20:09:35.464306,4517.78,744,purchase,Los Angeles,0
326,2023-11-21 22:42:35.464310,3621.27,449,refund,San Diego,0
327,2024-06-18 01:19:35.464313,4422.71,574,purchase,San Antonio,0
328,2024-05-21 23:47:35.464316,581.79,985,purchase,Chicago,0
329,2024-07-17 08:35:35.464320,899.87,201,refund,Los Angeles,0
330,2024-10-16 12:22:35.464323,3237.7,277,refund,Houston,0
331,2024-04-12 06:22:35.464326,1569.25,73,purchase,San Jose,0
332,2024-08-14 16:25:35.464329,282.62,850,purchase,Dallas,0
333,2024-01-08 15:43:35.464333,1487.26,671,refund,San Antonio,0
334,2023-12-28 10:10:35.464336,2537.67,347,purchase,Los Angeles,0
335,2024-09-22 04:16:35.464340,3890.85,799,refund,Houston,0
336,2023-10-26 14:16:35.464343,2932.28,443,purchase,Chicago,0
337,2024-03-08 07:36:35.464346,1243.23,288,purchase,San Diego,0
338,2024-07-08 00:08:35.464350,117.1,597,purchase,New York,0
339,2024-04-03 15:42:35.464355,3957.22,439,refund,Phoenix,0
340,2024-06-21 12:12:35.464360,1511.63,636,refund,New York,0
341,2024-02-25 23:04:35.464366,574.35,75,purchase,Chicago,0
342,2024-01-23 08:49:35.464372,2269.92,347,purchase,Philadelphia,0
343,2024-10-17 07:30:35.464377,1751.23,243,purchase,Dallas,0
344,2024-08-18 20:24:35.464384,770.07,791,purchase,New York,0
345,2024-05-18 05:10:35.464389,3986.28,64,purchase,New York,0
346,2024-07-16 07:27:35.464395,126.1,487,refund,Philadelphia,0
347,2024-09-09 06:16:35.464400,1688.19,755,refund,Dallas,0
348,2024-08-11 14:24:35.464407,2775.13,904,purchase,Philadelphia,0
349,2024-09-14 03:28:35.464413,4610.03,353,purchase,San Jose,0
350,2024-07-30 10:17:35.464420,4277.16,789,purchase,San Diego,0
351,2024-09-18 00:05:35.464426,3584.64,96,refund,New York,0
352,2024-10-02 21:29:35.464432,3588.5,282,refund,San Jose,0
353,2023-10-22 00:07:35.464438,2370.24,527,refund,New York,0
354,2024-08-13 17:58:35.464445,2740.4,107,refund,Los Angeles,0
355,2024-04-20 02:00:35.464450,2107.38,398,refund,San Jose,0
356,2024-07-13 11:50:35.464456,4655.62,598,refund,Philadelphia,0
357,2023-11-10 23:20:35.464463,1409.44,881,purchase,San Jose,0
358,2024-06-23 22:59:35.464468,2195.59,413,purchase,Chicago,0
359,2024-07-30 07:49:35.464474,3103.56,294,refund,Chicago,0
360,2023-12-24 04:27:35.464480,2755.44,230,refund,Houston,0
361,2024-04-12 14:24:35.464486,1194.12,601,refund,San Diego,0
362,2023-11-09 14:58:35.464490,824.41,590,purchase,Philadelphia,0
363,2024-08-10 20:49:35.464496,2287.14,734,purchase,Dallas,0
364,2024-08-29 06:44:35.464499,774.53,989,purchase,Los Angeles,0
365,2024-09-18 05:01:35.464503,2330.25,247,refund,Dallas,0
366,2024-03-10 00:03:35.464506,3747.26,767,purchase,San Diego,0
367,2024-04-19 15:50:35.464509,4233.04,686,refund,Phoenix,0
368,2023-12-26 23:58:35.464513,3457.83,899,purchase,San Diego,0
369,2024-10-10 20:09:35.464516,1726.8,118,refund,New York,0
370,2024-05-06 21:45:35.464519,3126.8,906,refund,Philadelphia,0
371,2023-10-29 04:09:35.464522,3047.66,789,purchase,New York,1
372,2024-01-10 15:44:35.464526,3449.36,405,purchase,Chicago,0
373,2024-07-25 02:37:35.464529,833.04,488,purchase,Philadelphia,0
374,2023-12-01 01:16:35.464533,248.65,973,refund,Chicago,0
375,2024-05-15 02:13:35.464536,1638.6,713,refund,San Jose,0
376,2024-07-15 05:51:35.464539,327.46,924,purchase,San Diego,0
377,2024-05-21 10:01:35.464542,97.25,842,refund,Dallas,0
378,2024-05-26 01:14:35.464546,1443.1,241,purchase,Philadelphia,0
379,2024-07-15 12:02:35.464549,4640.59,854,purchase,Houston,0
380,2024-09-15 15:48:35.464552,2469.63,787,refund,Los Angeles,0
381,2024-02-01 06:16:35.464555,572.08,80,purchase,San Jose,0
382,2024-08-17 22:54:35.464559,1845.36,584,purchase,Houston,0
383,2024-09-03 04:12:35.464562,1509.3,130,purchase,Phoenix,0
384,2023-12-24 06:53:35.464565,1650.3,446,refund,Los Angeles,0
385,2023-10-24 22:36:35.464569,999.14,436,refund,Los Angeles,0
386,2024-07-20 01:57:35.464572,4157.23,236,refund,Phoenix,0
387,2023-10-26 06:51:35.464576,2352.91,93,refund,Los Angeles,0
388,2024-08-31 11:24:35.464579,3568.87,311,refund,Dallas,0
389,2024-09-21 00:33:35.464582,3390.19,921,refund,Los Angeles,0
390,2024-09-04 01:23:35.464585,4729.42,655,refund,Chicago,0
391,2024-07-18 01:23:35.464589,2152.93,648,refund,New York,0
392,2024-05-07 23:14:35.464592,3596.87,838,purchase,Los Angeles,0
